layer,expert_id,expert_stratum,projection,method,budget_bpw,count,mean,median
0,1,median,down,generalized,0.0,9,0.0,0.0
0,1,median,down,generalized,0.05,9,0.0,0.0
0,1,median,down,generalized,0.1,9,0.056715991473635645,0.059118200586019465
0,1,median,down,generalized,0.2,9,0.07801207261500702,0.0809574037984454
0,1,median,down,generalized,0.3,9,0.1135601313773949,0.11508528012422825
0,1,median,down,generalized,0.5,9,0.16388772087827816,0.17594779663830895
0,1,median,down,generalized,0.75,9,0.2617416705122734,0.25414543393462563
0,1,median,down,generalized,1.0,9,0.3251874895078737,0.2961063973882858
0,1,median,down,generalized,1.25,9,0.3513039419321913,0.3444091464106186
0,1,median,down,generalized,1.5,9,0.3945526279733507,0.4147616190904576
0,1,median,down,generalized,2.0,9,0.5254368506160634,0.5662927511841782
0,1,median,down,generalized,2.5,9,0.5898902019020951,0.6315036527722241
0,1,median,down,generalized,3.0,9,0.6785336441853391,0.7107931217972083
0,1,median,down,generalized,4.0,9,0.7358676397771745,0.76825536921362
0,1,median,down,learned_s11,0.0,9,0.0,0.0
0,1,median,down,learned_s11,0.05,9,0.0,0.0
0,1,median,down,learned_s11,0.1,9,0.10785877560797327,0.11083411515176733
0,1,median,down,learned_s11,0.2,9,0.15690217128784076,0.1612417640676731
0,1,median,down,learned_s11,0.3,9,0.2276092032878999,0.21344881000280036
0,1,median,down,learned_s11,0.5,9,0.308354532492503,0.2593938960437058
0,1,median,down,learned_s11,0.75,9,0.3542438980048871,0.3761933449482634
0,1,median,down,learned_s11,1.0,9,0.43777369514672276,0.4661054996232804
0,1,median,down,learned_s11,1.25,9,0.49166357977857533,0.5021787383058148
0,1,median,down,learned_s11,1.5,9,0.5348924905012264,0.5540057678966422
0,1,median,down,learned_s11,2.0,9,0.5638448719329849,0.6385963724055995
0,1,median,down,learned_s11,2.5,9,0.6456285937488697,0.6852286947111703
0,1,median,down,learned_s11,3.0,9,0.6910277051457985,0.7288686210782409
0,1,median,down,learned_s11,4.0,9,0.7796072714688138,0.7908527461006035
0,1,median,down,learned_s29,0.0,9,0.0,0.0
0,1,median,down,learned_s29,0.05,9,0.0,0.0
0,1,median,down,learned_s29,0.1,9,0.10932460928518324,0.09600407260852806
0,1,median,down,learned_s29,0.2,9,0.17022468408592212,0.2135420020972829
0,1,median,down,learned_s29,0.3,9,0.1915889908827072,0.1933710103035654
0,1,median,down,learned_s29,0.5,9,0.2555950486429058,0.2815882150050052
0,1,median,down,learned_s29,0.75,9,0.36971971951053206,0.3828257023409518
0,1,median,down,learned_s29,1.0,9,0.4246974771782513,0.4775477263217863
0,1,median,down,learned_s29,1.25,9,0.47963362183043184,0.5155536668846215
0,1,median,down,learned_s29,1.5,9,0.5247576315173546,0.5657537862996536
0,1,median,down,learned_s29,2.0,9,0.5702177349520827,0.6099662797178669
0,1,median,down,learned_s29,2.5,9,0.6363662390624951,0.6749245429783104
0,1,median,down,learned_s29,3.0,9,0.6863535968249076,0.7043384445374852
0,1,median,down,learned_s29,4.0,9,0.7334778144061342,0.7641426060506197
0,1,median,down,learned_s47,0.0,9,0.0,0.0
0,1,median,down,learned_s47,0.05,9,0.0,0.0
0,1,median,down,learned_s47,0.1,9,0.09223758251747234,0.09000407362834706
0,1,median,down,learned_s47,0.2,9,0.20110286370079866,0.19814993167967565
0,1,median,down,learned_s47,0.3,9,0.2552058924274586,0.2698113507013882
0,1,median,down,learned_s47,0.5,9,0.28544352210593177,0.32059307066012177
0,1,median,down,learned_s47,0.75,9,0.3415743837077521,0.3578908383095585
0,1,median,down,learned_s47,1.0,9,0.4118502188520532,0.42295020901023717
0,1,median,down,learned_s47,1.25,9,0.4451904128735109,0.4373262230718249
0,1,median,down,learned_s47,1.5,9,0.5141911520368212,0.5571068018627096
0,1,median,down,learned_s47,2.0,9,0.5854220236853411,0.578013550467227
0,1,median,down,learned_s47,2.5,9,0.622999560241727,0.6152393377887428
0,1,median,down,learned_s47,3.0,9,0.6867697591949012,0.677174123404032
0,1,median,down,learned_s47,4.0,9,0.7297191344137143,0.7286421765009594
0,1,median,down,native,0.0,9,0.0,0.0
0,1,median,down,native,0.05,9,0.0,0.0
0,1,median,down,native,0.1,9,0.3699925916827931,0.3659246893403195
0,1,median,down,native,0.2,9,0.5246924183483033,0.5460661608529765
0,1,median,down,native,0.3,9,0.5929415663109678,0.5670609345445149
0,1,median,down,native,0.5,9,0.6388963689771613,0.5845910205712472
0,1,median,down,native,0.75,9,0.7050129368090103,0.7425158003248038
0,1,median,down,native,1.0,9,0.7877495356361506,0.8415792959475014
0,1,median,down,native,1.25,9,0.829381645533536,0.8630007348280937
0,1,median,down,native,1.5,9,0.8598951801462742,0.8967104367003773
0,1,median,down,native,2.0,9,0.9069125188354141,0.912055619592521
0,1,median,down,native,2.5,9,0.9360094775566237,0.9429097319339564
0,1,median,down,native,3.0,9,0.9538862994029694,0.9679021192064015
0,1,median,down,native,4.0,9,0.9764003894269818,0.9792791791305243
0,1,median,down,overcomplete_2x,0.0,9,0.0,0.0
0,1,median,down,overcomplete_2x,0.05,9,0.0,0.0
0,1,median,down,overcomplete_2x,0.1,9,0.07852533969259151,0.10977062682549044
0,1,median,down,overcomplete_2x,0.2,9,0.09848768562504305,0.11258548771117227
0,1,median,down,overcomplete_2x,0.3,9,0.12826142460203613,0.13297323595333999
0,1,median,down,overcomplete_2x,0.5,9,0.1921703156716532,0.20562156426586176
0,1,median,down,overcomplete_2x,0.75,9,0.2582959376852813,0.25772126980542387
0,1,median,down,overcomplete_2x,1.0,9,0.28077750736675877,0.27267619775520713
0,1,median,down,overcomplete_2x,1.25,9,0.3006302119241678,0.3039780547234362
0,1,median,down,overcomplete_2x,1.5,9,0.3450033708507074,0.3103500054026025
0,1,median,down,overcomplete_2x,2.0,9,0.43322459368436994,0.44395765456462843
0,1,median,down,overcomplete_2x,2.5,9,0.49531511504366044,0.4876619873601753
0,1,median,down,overcomplete_2x,3.0,9,0.5362920730499314,0.5220993149039503
0,1,median,down,overcomplete_2x,4.0,9,0.5988043937328736,0.5941016141843416
0,1,median,down,pca,0.0,9,0.0,0.0
0,1,median,down,pca,0.05,9,0.0,0.0
0,1,median,down,pca,0.1,9,0.071201754111391,0.05104436198607476
0,1,median,down,pca,0.2,9,0.11151058322902882,0.08527597687631783
0,1,median,down,pca,0.3,9,0.13249717562039498,0.1663236880823884
0,1,median,down,pca,0.5,9,0.18050661894860523,0.18944142592867796
0,1,median,down,pca,0.75,9,0.22933668272911348,0.2693603542542651
0,1,median,down,pca,1.0,9,0.3259833064339102,0.2758751211155118
0,1,median,down,pca,1.25,9,0.37344507730279874,0.3774815821663464
0,1,median,down,pca,1.5,9,0.464519587411177,0.4762141750720059
0,1,median,down,pca,2.0,9,0.567527332145282,0.5799041679803566
0,1,median,down,pca,2.5,9,0.6463868617514087,0.639711850044493
0,1,median,down,pca,3.0,9,0.6881359085586713,0.6949710344792079
0,1,median,down,pca,4.0,9,0.7536568518773844,0.7715693479518428
0,1,median,down,progressive_best,0.0,9,0.0,0.0
0,1,median,down,progressive_best,0.05,9,0.19576606191649637,0.10813934929899505
0,1,median,down,progressive_best,0.1,9,0.45126825562697953,0.4388537971412305
0,1,median,down,progressive_best,0.2,9,0.5872858533022826,0.5697637319619844
0,1,median,down,progressive_best,0.3,9,0.6115201538359244,0.5777449721631802
0,1,median,down,progressive_best,0.5,9,0.7030533549063364,0.7468103242491264
0,1,median,down,progressive_best,0.75,9,0.8112342367201045,0.847014677263733
0,1,median,down,progressive_best,1.0,9,0.8581300624513231,0.8859787616669067
0,1,median,down,progressive_best,1.25,9,0.8846600205577544,0.9009898452983071
0,1,median,down,progressive_best,1.5,9,0.9122717776595992,0.9389583343670884
0,1,median,down,progressive_best,2.0,9,0.9475223185569046,0.958926227615438
0,1,median,down,progressive_best,2.5,9,0.9658031619724355,0.9670110890094148
0,1,median,down,progressive_best,3.0,9,0.9790622074844174,0.983948649962041
0,1,median,down,progressive_best,4.0,9,0.9922055876859839,0.9934751919494889
0,1,median,down,random,0.0,9,0.0,0.0
0,1,median,down,random,0.05,9,0.0,0.0
0,1,median,down,random,0.1,9,0.04776726780031193,0.05721943250340267
0,1,median,down,random,0.2,9,0.0730602350260225,0.0793756756947922
0,1,median,down,random,0.3,9,0.12430725848902296,0.13189434116148446
0,1,median,down,random,0.5,9,0.17825521387930676,0.17083568129147553
0,1,median,down,random,0.75,9,0.23599722548343888,0.28936944122608454
0,1,median,down,random,1.0,9,0.2820332041237051,0.31676368549579215
0,1,median,down,random,1.25,9,0.30401562052508035,0.3426757611677066
0,1,median,down,random,1.5,9,0.3426491219531368,0.3178310439121035
0,1,median,down,random,2.0,9,0.4090535259001118,0.3702568751725217
0,1,median,down,random,2.5,9,0.48937716443562274,0.5193990852386343
0,1,median,down,random,3.0,9,0.5403218572786905,0.5560433733923564
0,1,median,down,random,4.0,9,0.6128134754503738,0.610467946563138
0,1,median,down,two_view_oracle,0.0,9,0.0,0.0
0,1,median,down,two_view_oracle,0.05,9,0.0,0.0
0,1,median,down,two_view_oracle,0.1,9,0.09244499742113581,0.059118200586019465
0,1,median,down,two_view_oracle,0.2,9,0.1496465971844977,0.14523372178704264
0,1,median,down,two_view_oracle,0.3,9,0.20611963620963314,0.1663236880823884
0,1,median,down,two_view_oracle,0.5,9,0.2400669075964995,0.2436567110004425
0,1,median,down,two_view_oracle,0.75,9,0.32150789526880436,0.3748288777216251
0,1,median,down,two_view_oracle,1.0,9,0.39605407500028933,0.4620268109148281
0,1,median,down,two_view_oracle,1.25,9,0.4145375379458276,0.3774815821663464
0,1,median,down,two_view_oracle,1.5,9,0.4837907031367995,0.4762141750720059
0,1,median,down,two_view_oracle,2.0,9,0.5489389150185003,0.5662927511841782
0,1,median,down,two_view_oracle,2.5,9,0.6305132243045557,0.6847750579782605
0,1,median,down,two_view_oracle,3.0,9,0.6913424657075171,0.7273038081157579
0,1,median,down,two_view_oracle,4.0,9,0.7667572312494371,0.7669392899318593
0,1,median,gate,generalized,0.0,9,0.0,0.0
