representation_label,layer,physical_budget_bpw,recovery_n,recovery_p10,recovery_median,recovery_p90,recovery_min,recovery_max,physical_pages_median,physical_bytes_median,physical_bpw_median,logical_actions_median,logical_bytes_median,logical_bpw_median,page_amplification_median,selector_runtime_ms_median,selector_bytes_read_median,selector_metadata_bpw_median,storage_multiplier_median,gate_up_actions_median,down_actions_median,path_actions_evaluated_median
PR7 independent-unit score,20,0.125,16,0.06250749935785921,0.4154040616629214,0.5778673590087364,-0.08429506060540692,0.6225848321132849,96.0,49152.0,0.125,32.0,49152.0,0.125,1.0,6.447720341384411,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,20,0.25,16,0.31179333249321406,0.6265122596551629,0.7265942657792351,0.16573721351935433,0.739577812225239,192.0,98304.0,0.25,64.0,98304.0,0.25,1.0,6.447720341384411,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,20,0.375,16,0.5112207164099603,0.6960903693327177,0.7728007857050082,0.4506648523626626,0.7933999297729588,288.0,147456.0,0.375,96.0,147456.0,0.375,1.0,6.447720341384411,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,20,0.5,16,0.6295927335034005,0.7613705320243915,0.8613617955449049,0.5606038801680917,0.8877669928950052,384.0,196608.0,0.5,128.0,196608.0,0.5,1.0,6.447720341384411,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,20,0.75,16,0.8156769606928758,0.8760361217655543,0.9324330132874629,0.7596009279722917,0.9428301330123735,576.0,294912.0,0.75,192.0,294912.0,0.75,1.0,6.447720341384411,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,20,1.0,16,0.9104990848269257,0.933509520378686,0.959625764460571,0.8751018392051053,0.965885894504138,768.0,393216.0,1.0,256.0,393216.0,1.0,1.0,6.447720341384411,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,20,1.25,16,0.9579428591149861,0.9737066108327903,0.9822048271066054,0.9537326511336649,0.9839753135526214,960.0,491520.0,1.25,320.0,491520.0,1.25,1.0,6.447720341384411,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,20,1.5,16,0.9872371950570182,0.9897259961361617,0.9940436045533654,0.9842764623029842,0.9950696221579045,1152.0,589824.0,1.5,384.0,589824.0,1.5,1.0,6.447720341384411,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,20,2.0,16,1.0,1.0,1.0,1.0,1.0,1536.0,786432.0,2.0,512.0,786432.0,2.0,1.0,6.447720341384411,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,39,0.0625,16,0.13433318225416263,0.5328338294272518,0.8597461464556089,-0.09473533488372099,0.941448230654968,48.0,24576.0,0.0625,16.0,24576.0,0.0625,1.0,7.039676886051893,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,39,0.125,16,0.5186949127824156,0.691220092422208,0.9142403776081813,0.20251278049212618,0.9661373671979128,96.0,49152.0,0.125,32.0,49152.0,0.125,1.0,7.039676886051893,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,39,0.25,16,0.6021838336869427,0.8168999664746335,0.9457324933926361,0.5460105246589171,0.9892330664426452,192.0,98304.0,0.25,64.0,98304.0,0.25,1.0,7.039676886051893,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,39,0.375,16,0.762407696266491,0.8979515370898804,0.9707207926789374,0.6564462505329696,0.9931717554350817,288.0,147456.0,0.375,96.0,147456.0,0.375,1.0,7.039676886051893,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,39,0.5,16,0.8734362264293389,0.9202559526780943,0.9834808467027667,0.7715711741676847,0.9943487411868435,384.0,196608.0,0.5,128.0,196608.0,0.5,1.0,7.039676886051893,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,39,0.75,16,0.9267777644159289,0.9588592729505234,0.992652736602595,0.8783919101021462,0.997160628840163,576.0,294912.0,0.75,192.0,294912.0,0.75,1.0,7.039676886051893,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,39,1.0,16,0.9562775867541676,0.9839870965330657,0.9967124902248232,0.9507622782563961,0.9987353820473868,768.0,393216.0,1.0,256.0,393216.0,1.0,1.0,7.039676886051893,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,39,1.25,16,0.9818957851777264,0.9928859282708038,0.9982134780694609,0.9678389836779262,0.9996776869724444,960.0,491520.0,1.25,320.0,491520.0,1.25,1.0,7.039676886051893,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,39,1.5,16,0.995374969117611,0.9979311081119792,0.9994535319342541,0.9920349189388562,0.9998524345796154,1152.0,589824.0,1.5,384.0,589824.0,1.5,1.0,7.039676886051893,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,39,2.0,16,1.0,1.0,1.0,1.0,1.0,1536.0,786432.0,2.0,512.0,786432.0,2.0,1.0,7.039676886051893,8388608.0,0.0,1.4705882352941178,,,
