group,projection,stage,target_recovery,invocations,required_atoms_p10,required_atoms_median,required_atoms_p90,required_bpw_median
layers 4/20/39,down,2,0.95,159,125.2,199.0,237.0,1.5546875
layers 4/20/39,down,2,0.99,159,236.8,301.0,337.20000000000005,2.3515625
layers 4/20/39,down,3,0.8,159,32.6,88.0,119.0,0.6875
layers 4/20/39,down,3,0.9,159,71.0,143.0,183.20000000000002,1.1171875
layers 4/20/39,down,3,0.95,159,126.60000000000001,194.0,235.20000000000002,1.515625
layers 4/20/39,down,3,0.99,159,241.0,297.0,336.0,2.3203125
layers 4/20/39,gate,1,0.8,159,86.4,313.0,464.60000000000014,1.22265625
layers 4/20/39,gate,1,0.9,159,284.6,588.0,743.2,2.296875
layers 4/20/39,gate,1,0.95,159,558.2,846.0,990.4000000000001,3.3046875
layers 4/20/39,gate,1,0.99,159,1124.2,1326.0,1422.2,5.1796875
layers 4/20/39,gate,2,0.8,159,200.0,397.0,528.8000000000001,1.55078125
layers 4/20/39,gate,2,0.9,159,447.4,671.0,797.2,2.62109375
layers 4/20/39,gate,2,0.95,159,703.2,925.0,1035.4,3.61328125
layers 4/20/39,gate,2,0.99,159,1222.6,1362.0,1437.6000000000001,5.3203125
layers 4/20/39,gate,3,0.8,159,163.8,379.0,513.4000000000001,1.48046875
layers 4/20/39,gate,3,0.9,159,408.0,648.0,778.2,2.53125
layers 4/20/39,gate,3,0.95,159,660.8,903.0,1018.0,3.52734375
layers 4/20/39,gate,3,0.99,159,1189.0,1360.0,1436.2,5.3125
layers 4/20/39,up,1,0.8,159,166.4,405.0,532.4000000000001,1.58203125
layers 4/20/39,up,1,0.9,159,415.2,684.0,812.0,2.671875
layers 4/20/39,up,1,0.95,159,654.6,937.0,1051.0,3.66015625
layers 4/20/39,up,1,0.99,159,1192.2,1377.0,1447.0,5.37890625
layers 4/20/39,up,2,0.8,159,192.4,391.0,525.2,1.52734375
layers 4/20/39,up,2,0.9,159,416.2,666.0,800.4000000000001,2.6015625
layers 4/20/39,up,2,0.95,159,698.6,917.0,1040.0,3.58203125
layers 4/20/39,up,2,0.99,159,1210.6,1367.0,1447.6000000000001,5.33984375
layers 4/20/39,up,3,0.8,159,174.8,394.0,522.2,1.5390625
layers 4/20/39,up,3,0.9,159,430.6,671.0,787.8000000000002,2.62109375
layers 4/20/39,up,3,0.95,159,705.8,918.0,1034.0,3.5859375
layers 4/20/39,up,3,0.99,159,1204.8,1375.0,1443.4,5.37109375
