projection,stage,comparison,k,cases,recovery_median,recovery_p10,recovery_p90
gate,2,bounded_beam_w16_pool32,10.0,4,0.3385399588860654,0.28113106630024887,0.3724105889623931
gate,2,bounded_beam_w16_pool32,11.0,4,0.3470093022499194,0.28983792394637503,0.38016331100704576
gate,2,bounded_beam_w16_pool32,12.0,4,0.35543524743636723,0.298301339912865,0.38785761655349377
gate,2,bounded_beam_w16_pool32,13.0,4,0.3625086746749529,0.305875606410433,0.3951901717872953
gate,2,bounded_beam_w16_pool32,14.0,4,0.36886823608792857,0.3132352646153245,0.4013947794275155
gate,2,bounded_beam_w16_pool32,15.0,4,0.3751381426045016,0.3199459480941723,0.4076008174962966
gate,2,bounded_beam_w16_pool32,16.0,4,0.38050077822357375,0.3266295257681144,0.413694503226826
gate,2,bounded_beam_w64_pool32,1.0,4,0.1767734824034602,0.12906765303818796,0.21865801302083032
gate,2,bounded_beam_w64_pool32,2.0,4,0.21997871027955396,0.18446193407562095,0.26038687786396686
gate,2,bounded_beam_w64_pool32,3.0,4,0.2472786971392001,0.20390004854125462,0.2858211921869807
gate,2,bounded_beam_w64_pool32,4.0,4,0.26655778097208455,0.21714878755408357,0.3062542954143044
gate,2,bounded_beam_w64_pool32,5.0,4,0.28214050138946795,0.22865417361868526,0.321596592918987
gate,2,bounded_beam_w64_pool32,6.0,4,0.29523720446837964,0.23964046047294368,0.33469518023670475
gate,2,bounded_beam_w64_pool32,7.0,4,0.30633768354059465,0.2507851352376712,0.3446854420945891
gate,2,bounded_beam_w64_pool32,8.0,4,0.3173655647427485,0.2615162687463991,0.3545038864391088
gate,2,bounded_beam_w64_pool32,9.0,4,0.3283039822050469,0.2715449602358543,0.36401056561072453
gate,2,bounded_beam_w64_pool32,10.0,4,0.33853996117609664,0.28113106870014143,0.3724105930599957
gate,2,bounded_beam_w64_pool32,11.0,4,0.3470093052715847,0.2898379275651308,0.3801633158809865
gate,2,bounded_beam_w64_pool32,12.0,4,0.35543525069140847,0.29830134466519675,0.38785762117034644
gate,2,bounded_beam_w64_pool32,13.0,4,0.36250867720257923,0.3058756116455916,0.39519017600690703
gate,2,bounded_beam_w64_pool32,14.0,4,0.36886823773535954,0.3132352684092027,0.40139478326562456
