layer,budget_bpw,invocations,requests,recovery_p10,recovery_median,recovery_p90,benefit_retention_median,physical_bpw_median,logical_bpw_median,page_amplification_median,relative_output_error_median
0,0.5,67,15,0.6288708010011002,0.7653163885028672,0.9198094727447046,0.7698846434071801,0.5,0.22023518880208334,2.2703002309468823,0.26014435291290283
0,1.0,67,15,0.808567587630847,0.9290770236923851,0.9832828064623605,0.9352287625984109,1.0,0.44183349609375,2.2632960353640006,0.13344056904315948
0,1.5,67,15,0.8554482935997707,0.962927610308494,0.991421466209641,0.9695835527972131,1.5,0.5909220377604166,2.5384059218454125,0.10368147492408752
0,2.0,67,15,0.890104289477535,0.9766991132350504,0.9940567043873899,0.9831010532641266,2.0,0.8087158203125,2.471937235968618,0.07872100919485092
0,2.5,67,15,0.9227330005092849,0.9815272220247765,0.9955873755101741,0.9882376980308694,2.5,0.9558919270833334,2.6119117459507715,0.07255148887634277
0,3.0,67,15,0.9468194623373237,0.9873638639858423,0.9961310302234007,0.992068802454873,3.0,1.10430908203125,2.705912577531471,0.06425365805625916
4,0.5,59,14,0.39121324960996273,0.5614592542838881,0.6925985755747559,0.562779211329236,0.5,0.21901448567708334,2.282954017649791,0.38296833634376526
4,1.0,59,14,0.6378243939502192,0.7706652294773826,0.8779528050484721,0.7754237883609904,1.0,0.3674519856770833,2.7214439953490945,0.2792622745037079
4,1.5,59,14,0.74867510948707,0.8490399853591312,0.9184419907674071,0.8504201584901437,1.5,0.5872395833333334,2.5543237250554323,0.24877864122390747
4,2.0,59,14,0.801682679442985,0.8848928172941026,0.949251251163745,0.8874483195393644,2.0,0.7345784505208334,2.722649975073395,0.21619229018688202
4,2.5,59,14,0.8381889468576181,0.9147329269199264,0.9588410108693866,0.9192806464827448,2.5,0.950439453125,2.6297429751535515,0.18518498539924622
4,3.0,59,14,0.8669721754679622,0.9303645419074893,0.9692371083757862,0.9333108519949618,3.0,1.1671142578125,2.570442422340759,0.16635797917842865
20,0.5,40,7,0.38071690912324,0.5435646574128444,0.6771945938487918,0.5459435872500988,0.5,0.2188720703125,2.2844394868934748,0.43782663345336914
20,1.0,40,7,0.5673181942238463,0.7193557141072218,0.7970292954285312,0.7210499697940937,1.0,0.3673299153645833,2.7223483799501524,0.3630772680044174
20,1.5,40,7,0.6771871812204171,0.782258618411174,0.8590203572761816,0.784806092460799,1.5,0.5826009114583334,2.5746612655398797,0.3045071065425873
20,2.0,40,7,0.7455870638147931,0.8439782829926766,0.8945623117155361,0.8462746938197925,2.0,0.7368062337239583,2.7144296570806383,0.26864513754844666
20,2.5,40,7,0.7932904247426642,0.8721756245842727,0.9347660025520853,0.8750041201571841,2.5,0.9504903157552083,2.6302215413811876,0.2340557798743248
20,3.0,40,7,0.8535125066809746,0.89984306865061,0.942784856442034,0.9031193145096372,3.0,1.1006368001302085,2.7256999666148456,0.21652595698833466
39,0.5,60,14,0.3860555236901632,0.5782893332821465,0.7495628181001082,0.5818147863627532,0.5,0.22265625,2.245614035087719,0.37613245844841003
39,1.0,60,14,0.6173580848052727,0.7685664077085694,0.8732599560799076,0.7725005634438856,1.0,0.44159952799479163,2.264495175235864,0.284864142537117
39,1.5,60,14,0.7217848053899426,0.8397997332837318,0.9235307626301212,0.8453550958945489,1.5,0.5901082356770833,2.5419065799188885,0.2352578341960907
39,2.0,60,14,0.7857566446342336,0.8735552188582185,0.9400867892493358,0.8800479010666482,2.0,0.8055521647135417,2.4827690813599266,0.20685580372810364
39,2.5,60,14,0.8266499325599242,0.9015516774401202,0.957968177807625,0.9088052981656141,2.5,1.0228068033854165,2.444259667050691,0.1834297627210617
39,3.0,60,14,0.8680022157336721,0.9255863462546843,0.9698435207305263,0.9296333955068071,3.0,1.173492431640625,2.550325726867616,0.16754399240016937
