budget_bpw,invocations,gate_bpw_mean,up_bpw_mean,down_bpw_mean,gate_bpw_median,up_bpw_median,down_bpw_median,mode_gate_bpw,mode_up_bpw,mode_down_bpw,mode_invocations,mode_fraction
0.5,159,0.11006289308176101,0.15566037735849056,0.23427672955974843,0.0,0.25,0.25,0.0,0.25,0.25,75,0.4716981132075472
1.0,159,0.2971698113207547,0.31446540880503143,0.38836477987421386,0.25,0.25,0.25,0.25,0.25,0.5,55,0.34591194968553457
1.5,159,0.4449685534591195,0.4921383647798742,0.559748427672956,0.5,0.5,0.5,0.5,0.5,0.5,24,0.1509433962264151
2.0,159,0.6273584905660378,0.690251572327044,0.6808176100628931,0.5,0.75,0.5,0.5,0.75,0.75,17,0.1069182389937107
2.5,159,0.8081761006289309,0.8616352201257862,0.8160377358490566,0.75,0.75,0.75,0.75,1.0,0.75,16,0.10062893081761007
3.0,159,0.9968553459119497,1.0251572327044025,0.9575471698113207,1.0,1.0,1.0,1.25,1.0,0.75,14,0.0880503144654088
