layer,expert_id,expert_stratum,budget_bpw,invocations,requests,recovery_p10,recovery_median,recovery_p90,benefit_retention_median,physical_bpw_median,logical_bpw_median,page_amplification_median,relative_output_error_median
0,1,median,0.5,8,6,0.6427158137052533,0.724496371087663,0.8074341815829476,0.7288440179080082,0.5,0.21999104817708334,2.272819753999815,0.28868454694747925
0,1,median,1.0,8,6,0.818449422253464,0.8961582022478448,0.9273445092468073,0.9010431138809691,1.0,0.36817423502604163,2.716105923466496,0.16738467663526535
0,1,median,1.5,8,6,0.8841231981132948,0.9251364824660051,0.9608267707641281,0.9306856337107117,1.5,0.5880126953125,2.5509720771079327,0.12756724655628204
0,1,median,2.0,8,6,0.9125444636413234,0.9543053951660064,0.9772811090625411,0.9595045288790504,2.0,0.8078409830729166,2.4757348136248787,0.1037876307964325
0,1,median,2.5,8,6,0.9353531061257986,0.9682209713961084,0.9813952444829244,0.9736813513070555,2.5,0.9178568522135417,2.6199033549739568,0.08441348373889923
0,1,median,3.0,8,6,0.952450742688736,0.9805311350657836,0.9883439145997002,0.987280476722577,3.0,1.1022847493489585,2.718458995078664,0.07613692060112953
0,8,cold,0.5,1,1,0.7109431211959285,0.7109431211959285,0.7109431211959285,0.7142954982933212,0.5,0.22265625,2.245614035087719,0.3064815104007721
0,8,cold,1.0,1,1,0.8086067445179673,0.8086067445179673,0.8086067445179673,0.8124196441020569,1.0,0.4420369466145833,2.2622543379205595,0.2241106927394867
0,8,cold,1.5,1,1,0.859843222402076,0.859843222402076,0.859843222402076,0.8638977221787671,1.5,0.6620279947916666,2.2657652120467118,0.2081209272146225
0,8,cold,2.0,1,1,0.8890955145295946,0.8890955145295946,0.8890955145295946,0.8932879503960387,2.0,0.8846842447916666,2.2606935884463253,0.18468300998210907
0,8,cold,2.5,1,1,0.9044430739146407,0.9044430739146407,0.9044430739146407,0.9087078795741799,2.5,0.9514567057291666,2.627549929435915,0.15330255031585693
0,8,cold,3.0,1,1,0.9195663361326007,0.9195663361326007,0.9195663361326007,0.9239024539356657,3.0,1.0958251953125,2.7376629163417623,0.13518144190311432
0,17,cold,0.5,5,4,0.642287623171899,0.6662006930479056,0.7709616661474156,0.6699289951511179,0.5,0.22265625,2.245614035087719,0.3533513844013214
0,17,cold,1.0,5,4,0.7268200936136101,0.7488559951830444,0.8803888927778706,0.752681036874569,1.0,0.3644002278645833,2.744235386075596,0.32111284136772156
0,17,cold,1.5,5,4,0.7910424483417385,0.8488559003963129,0.9232953226328237,0.8531917262827289,1.5,0.5099894205729166,2.9412374835441017,0.27332448959350586
0,17,cold,2.0,5,4,0.8535330414519704,0.8844103127989028,0.950119712683386,0.8889277451765967,2.0,0.7298990885416666,2.7401048054409634,0.22355236113071442
0,17,cold,2.5,5,4,0.8804904073350931,0.9040434919818088,0.9601958867089695,0.9086612076307791,2.5,0.87591552734375,2.8541565047731865,0.1963263303041458
0,17,cold,3.0,5,4,0.8963066892452386,0.91973032263945,0.9670537178331372,0.9244281642160476,3.0,1.0239461263020833,2.9298416419956683,0.18320520222187042
0,22,median,0.5,5,5,0.6220351776782822,0.7013133092772692,0.7831286106942779,0.7036282659390571,0.5,0.21940104166666666,2.27893175074184,0.26014435291290283
0,22,median,1.0,5,5,0.8329876268222005,0.922594769635424,0.9502465238056493,0.9256401516064282,1.0,0.4418741861979167,2.263087619135319,0.15208454430103302
0,22,median,1.5,5,5,0.9063724856920428,0.9617260604637528,0.9659920149175111,0.9677939189904954,1.5,0.6622314453125,2.265069124423963,0.10534323751926422
0,22,median,2.0,5,5,0.9392463397150673,0.971862600413331,0.9819360568670747,0.9779944138362682,2.0,0.80865478515625,2.473243263642539,0.09019114822149277
0,22,median,2.5,5,5,0.9528437378159825,0.9798130019237173,0.9868384116146253,0.9859949771480022,2.5,1.03131103515625,2.424098952476771,0.07122032344341278
0,22,median,3.0,5,5,0.9627281462877133,0.9825466736107833,0.9888018110451191,0.9887458965043762,3.0,1.1774495442708333,2.547879876974116,0.060896310955286026
0,114,median,0.5,1,1,0.7426587233793209,0.7426587233793209,0.7426587233793209,0.7457803622049788,0.5,0.2188720703125,2.2844394868934748,0.20112629234790802
0,114,median,1.0,1,1,0.860381011436408,0.860381011436408,0.860381011436408,0.8639974757498379,1.0,0.4415283203125,2.264860381531656,0.14678241312503815
0,114,median,1.5,1,1,0.9128828701477452,0.9128828701477452,0.9128828701477452,0.9167200170377248,1.5,0.7384033203125,2.031410150438089,0.13587388396263123
0,114,median,2.0,1,1,0.9355706682830139,0.9355706682830139,0.9355706682830139,0.9395031794490711,2.0,0.880126953125,2.272399445214979,0.1252633035182953
0,114,median,2.5,1,1,0.9604820326059166,0.9604820326059166,0.9604820326059166,0.9645192544279215,2.5,1.028564453125,2.43057203892713,0.10076625645160675
0,114,median,3.0,1,1,0.9649282584666168,0.9649282584666168,0.9649282584666168,0.9689841692379836,3.0,1.248046875,2.403755868544601,0.09331801533699036
0,158,median,0.5,8,7,0.5938385964016675,0.6641845776302922,0.7496591259395922,0.6682015486677977,0.5,0.219482421875,2.278086763070078,0.2798996865749359
0,158,median,1.0,8,7,0.8607306079671133,0.8906810079243468,0.9253786384320316,0.8979274372143898,1.0,0.4420878092447917,2.2619940741489746,0.15539375692605972
0,158,median,1.5,8,7,0.9169991384500055,0.9406404206582968,0.9588060905863051,0.9462427201570272,1.5,0.6634623209635417,2.2608736853924487,0.11511224880814552
0,158,median,2.0,8,7,0.9508777636297068,0.9637296991920403,0.9747899258524929,0.9694663606992393,2.0,0.8093770345052084,2.4710396356544218,0.09515506774187088
0,158,median,2.5,8,7,0.9672111588873087,0.9749079606783358,0.9846602239361903,0.9825016947441655,2.5,1.0680135091145835,2.3436176001810773,0.07942045107483864
0,158,median,3.0,8,7,0.9735448953042879,0.979216375369387,0.9906563623573684,0.9871941680630483,3.0,1.2504170735677085,2.3992009798738563,0.07066388428211212
0,164,cold,0.5,3,2,0.7291416844051486,0.7644098938995629,0.7711793587843763,0.7698846434071801,0.5,0.22265625,2.245614035087719,0.26097196340560913
0,164,cold,1.0,3,2,0.8262781599377582,0.897355390488125,0.924452609394072,0.9019387536049469,1.0,0.4426472981770833,2.2591349910373673,0.1658654808998108
0,164,cold,1.5,3,2,0.8540547781391601,0.9482106256842809,0.9581249734819378,0.9530537387416127,1.5,0.5888875325520834,2.547175678010019,0.13809259235858917
0,164,cold,2.0,3,2,0.9006750616311832,0.9701465205051768,0.9752069636719046,0.9751016740899543,2.0,0.739013671875,2.7063098777667656,0.1140679195523262
0,164,cold,2.5,3,2,0.9298840515781116,0.9794420315656168,0.9830956255590595,0.9844446632209537,2.5,0.8822835286458334,2.8335562422174054,0.09172637015581131
0,164,cold,3.0,3,2,0.9488872295718209,0.9843839724573195,0.985764189364176,0.9894118457391609,3.0,1.102294921875,2.721594684385382,0.08229800313711166
0,181,hot,0.5,8,2,0.7645116814143117,0.7906940148979887,0.8623201548357284,0.7939782452726407,0.5,0.22265625,2.245614035087719,0.1948482021689415
0,181,hot,1.0,8,2,0.9326904608113785,0.9541014636203671,0.9684555186655261,0.9582275374649915,1.0,0.36821492513020837,2.715805179297413,0.10077842324972153
0,181,hot,1.5,8,2,0.9648981927373452,0.977174705476222,0.9834042206510037,0.9809902183748405,1.5,0.662750244140625,2.263296189462022,0.07004407420754433
0,181,hot,2.0,8,2,0.9771915568043839,0.9866011605945,0.990664751757626,0.9904534508250495,2.0,0.8110860188802083,2.4658297256515906,0.057042138651013374
0,181,hot,2.5,8,2,0.9854450728846376,0.9921530451817432,0.9939874661013671,0.99641975340591,2.5,1.03106689453125,2.4246736815940384,0.047898128628730774
0,181,hot,3.0,8,2,0.9893965126497366,0.9935352907430752,0.9958560051970367,0.9978303770046348,3.0,1.2157999674479167,2.4697819147786677,0.0432928204536438
0,206,hot,0.5,8,4,0.7493870896816786,0.8527221295840193,0.8956583725181235,0.8555958531905163,0.5,0.220245361328125,2.2701953768811634,0.26400334388017654
0,206,hot,1.0,8,4,0.938243902123342,0.9779143809014755,0.9865081578876865,0.9801568431097629,1.0,0.4428304036458333,2.258200863732427,0.11399860307574272
0,206,hot,1.5,8,4,0.9720253372173058,0.9881263967141054,0.9943667317522414,0.9906169160734885,1.5,0.626251220703125,2.403649516625861,0.08182983472943306
0,206,hot,2.0,8,4,0.9826760311419345,0.9911403755645747,0.9960422108531664,0.9936430070586333,2.0,0.809295654296875,2.47128600781791,0.06641503795981407
0,206,hot,2.5,8,4,0.9861930905527768,0.9929345740899379,0.996965420922826,0.9957930707550118,2.5,0.9215901692708333,2.6102206319284074,0.06251616030931473
0,206,hot,3.0,8,4,0.9866245872496447,0.9941401554339853,0.9974010107471749,0.9969346721430284,3.0,1.1071370442708335,2.6294768836719804,0.060538556426763535
0,238,hot,0.5,8,5,0.7049810782263747,0.783248162631726,0.8452548602348403,0.7880157544382138,0.5,0.219940185546875,2.2733453635421697,0.22421838343143463
0,238,hot,1.0,8,5,0.9192535531661422,0.9685607852108642,0.9846276510864942,0.9724574903088476,1.0,0.44251505533854163,2.2598101205017924,0.09442650154232979
